Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
29.01.2015_4;09376172;Oberpfalz;Schwandorf;Thanstein;2014-08-30;http://www.thanstein.de;2014-08-30;http://www.thanstein.de;2014-10-29;http://breitband.regensburg-it.de/thanstein#markterkundung-ergebnis;2014-10-29*;http://breitband.regensburg-it.de/thanstein#auswahlverfahren-bekanntmachung;2015-04-09;http://breitband.regensburg-it.de/thanstein#auswahlverfahren-ergebnis;2015-10-13;http://breitband.regensburg-it.de/thanstein#auswahlverfahren-bekanntmachung;2015-05-19;http://breitband.regensburg-it.de/thanstein#kooperationsvertrag-3148;;;;;;
;09577172;Mittelfranken;Weißenburg-Gunzenhausen;Theilenhofen;<em> 2013-03-04</em>;;;;;;;;;;;;;;;;;;ausgesetzt_2015-07-28
06.08.2015_4;09374160;Oberpfalz;Neustadt a.d. Waldnaab;Theisseil;2014-12-19;http://www.theisseil.de;2014-12-19;http://breitband.regensburg-it.de/theisseil#markterkundung-bekanntmachung;2015-05-30;http://breitband.regensburg-it.de/theisseil#markterkundung-ergebnis;2015-05-30*;http://breitband.regensburg-it.de/theisseil#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09674180;Unterfranken;Haßberge;Theres;2014-11-19;http://vgtheres.de/192.html?&tx_ttnews[tt_news]=101&cHash=3eba9ab332f62e7d7c32fd15436e6672;2014-11-19;http://vgtheres.de/192.html?&tx_ttnews[tt_news]=101&cHash=3eba9ab332f62e7d7c32fd15436e6672;2015-04-09;http://vgtheres.de/192.html?&tx_ttnews[tt_news]=101&cHash=3eba9ab332f62e7d7c32fd15436e6672;2015-04-09;http://vgtheres.de/192.html?&tx_ttnews[tt_news]=101&cHash=3eba9ab332f62e7d7c32fd15436e6672;2015-10-09;http://breitband.zukunft-hassberge.de/index.php?id=86;;;2015-10-09;http://breitband.zukunft-hassberge.de/index.php?id=86;;;;;;
;09772207;Schwaben;Augsburg;Thierhaupten, M;2013-10-10;;2014-02-05;;2014-08-06;;2014-08-06;;2015-04-17;;2015-04-20;;2015-06-11;;2015-07-03;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10312/150702_Fördersteckbrief_Thierhaupten.pdf;;;;
;09479158;Oberfranken;Wunsiedel;Thiersheim, M;2015-10-03;http://thiersheim.de/internet.htm;2015-10-03;http://www.thiersheim.de/internet.htm;;;;;;;;;;;;;;;;
;09479159;Oberfranken;Wunsiedel;Thierstein, M;2013-12-18;http://thierstein.de/index.php/breitbandanschluss-fuer-thierstein;2014-05-24;http://thierstein.de/index.php/breitbandanschluss-fuer-thierstein;2014-10-29;http://thierstein.de/index.php/breitbandanschluss-fuer-thierstein;2014-11-06;http://thierstein.de/index.php/breitbandanschluss-fuer-thierstein;2015-05-28;http://thierstein.de/index.php/breitbandanschluss-fuer-thierstein;;;;;;;;;;
;09672157;Unterfranken;Bad Kissingen;Thundorf i.UFr.;2014-08-15;http://www.thundorfiufr.rhoen-saale.net/Home/DSL-Ausbau;2014-08-15;http://www.thundorfiufr.rhoen-saale.net/Home/DSL-Ausbau;2015-02-10;http://www.thundorfiufr.rhoen-saale.net/Home/DSL-Ausbau;2015-02-10;http://www.thundorfiufr.rhoen-saale.net/Home/DSL-Ausbau;2015-06-20;http://www.thundorfiufr.rhoen-saale.net/Home/DSL-Ausbau;;;;;;;;;;
;09272150;Niederbayern;Freyung-Grafenau;Thurmansbang;<b>1: </b>  2013-05-08 ||<b>2: </b>2015-03-12;||http://www.thurmansbang.de/gemeinde/breitbandausbau-ii/breitbandausbau-phase-ii.html;<b>1: </b>  2013-09-10 ||<b>2: </b>2015-03-12;||http://www.thurmansbang.de/gemeinde/breitbandausbau-ii/breitbandausbau-phase-ii.html;<b>1: </b>  2014-01-18 ||<b>2: </b>2015-05-30;||http://www.thurmansbang.de/gemeinde/breitbandausbau-ii/breitbandausbau-phase-ii.html;<b>1: </b>  2014-01-18 ||<b>2: </b>2015-05-30;||http://www.thurmansbang.de/gemeinde/breitbandausbau-ii/breitbandausbau-phase-ii.html;<b>1: </b> 2014-06-04;;<b>1: </b> 2014-07-24;;<b>1: </b> 2014-11-13;;<b>1: </b> 2014-11-13;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10066/150408_Fördersteckbrief_Thurmansbang.pdf;;;;
;09477157;Oberfranken;Kulmbach;Thurnau, M;<b>1: </b>  2013-11-09 ||<b>2: </b>2013-11-09||<b>3: </b>2014-12-18;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-ortsteil-leesau/||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-3-ortsteil-lanzenreuth/;<b>1: </b>  2014-02-13 ||<b>2: </b>2014-02-21||<b>3: </b>2014-12-18;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-ortsteil-leesau/||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-3-ortsteil-lanzenreuth/;<b>1: </b>  2014-05-07 ||<b>2: </b>2014-08-14||<b>3: </b>2015-06-03;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau/||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-3-ortsteil-lanzenreuth/;<b>1: </b>  2014-05-07 ||<b>2: </b>2014-09-09||<b>3: </b>2015-06-03;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau/||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-3-ortsteil-lanzenreuth/;<b>1: </b>  2014-10-16 ||<b>2: </b>2014-12-10||<b>3: </b>2015-10-29;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau/||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau-interkommunales-projekt-3-ortsteil-lanzenreuth/;<b>1: </b>  2015-02-02 ||<b>2: </b>2015-02-02;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau/;<b>1: </b>  2015-01-30 ||<b>2: </b>2015-02-19;||http://www.thurnau.de/marktgeschehen-buergerservice/breitbandversorgung/markt-thurnau/;<b>1: </b>  2015-02-07 ||<b>2: </b>2015-03-13;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10144/150204_Fördersteckbrief_IKP1_Thurnau.pdf||http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10190/150330_Fördersteckbrief2_Thurnau.pdf;;;;
;09275150;Niederbayern;Passau;Thyrnau;2014-12-18;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Thyrnau.aspx;2014-12-18;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Thyrnau.aspx;2015-04-01;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Thyrnau.aspx;2015-04-01;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Thyrnau.aspx;;;;;;;;;;;;
;09679194;Unterfranken;Würzburg;Thüngersheim;2015-03-17;http://www.thuengersheim.de/index.php?id=161;2015-03-17;http://www.thuengersheim.de/index.php?id=161;2015-10-16;http://www.thuengersheim.de/index.php?id=161;2015-10-16;http://www.thuengersheim.de/index.php?id=161;;;;;;;;;;;;
;09275151;Niederbayern;Passau;Tiefenbach;<b>1: </b>  2014-05-20 ||<b>2: </b>2015-07-31;http://www.gemeinde-tiefenbach.de/component/content/article/2-aktuelles/145-breitbanderschliessung-in-tiefenbach||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach/TiefenbachII.aspx;<b>1: </b>  2014-11-18 ||<b>2: </b>2015-07-31;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach/TiefenbachII.aspx;<b>1: </b> 2015-02-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach.aspx;<b>1: </b> 2015-02-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach.aspx;<b>1: </b> 2015-08-13;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tiefenbach/TiefenbachI.aspx;;;;;;;;;;
;09372163;Oberpfalz;Cham;Tiefenbach;2013-06-22;;2014-01-22;;2014-04-08;;2014-04-08;;2014-10-09;;2015-02-02;;2015-02-17;;2015-02-27;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10170/150331_Fördersteckbrief_Tiefenbach.pdf;;;;
;09274182;Niederbayern;Landshut;Tiefenbach;2014-02-25;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;2014-04-24;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;2014-06-19;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;2015-06-06;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;2015-09-10;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;;;2015-09-10;http://www.tiefenbach-gemeinde.de/Start/SchnellesInternet.aspx;;;;;;
;09377154;Oberpfalz;Tirschenreuth;Tirschenreuth, St;<b>1: </b>  2013-12-07 ||<b>2: </b>2015-04-17;||http://www.stadt-tirschenreuth.de;<b>1: </b>  2014-04-04 ||<b>2: </b>2015-04-17;||http://www.stadt-tirschenreuth.de;<b>1: </b>  2014-06-05 ||<b>2: </b>2015-07-30;||http://www.stadt-tirschenreuth.de/rathaus-buergerservice/breitbandausbau.html;<b>1: </b>  2014-06-13 ||<b>2: </b>2015-08-29;||http://www.stadt-tirschenreuth.de/rathaus-buergerservice/breitbandausbau.html;<b>1: </b> 2015-02-10;;<b>1: </b> 2015-04-23;;<b>1: </b> 2015-07-14;;<b>1: </b> 2015-07-14;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10325/150713_Fördersteckbrief_Tirschenreuth.pdf;;;;
14.08.2015_4;09176164;Oberbayern;Eichstätt;Titting, M;2014-08-29;http://www.titting.de;2014-08-29;http://www.titting.de;2015-07-09;http://www.titting.de;2015-07-09*;http://www.titting.de/Aktuelles/Pressearchiv.aspx?rssid=450A4695-B494-499B-BBF4-58DC6301CF08;;;;;;;;;;;;
;09275152;Niederbayern;Passau;Tittling, M;<b>1: </b>  2014-04-02 ||<b>2: </b>2015-07-11;http://www.tittling.de/index.php/502-breitbandversorgung||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling/TittlingII.aspx;<b>1: </b>  2014-09-25 ||<b>2: </b>2015-07-11;http://www.tittling.de||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling/TittlingII.aspx;<b>1: </b> 2014-12-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling.aspx;<b>1: </b> 2014-12-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling.aspx;<b>1: </b> 2015-07-30;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling/TittlingI.aspx;<b>1: </b> 2015-09-09;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling/TittlingI.aspx;<b>1: </b> 2015-10-29;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Tittling/TittlingI.aspx;;;;;;
;09189152;Oberbayern;Traunstein;Tittmoning, St;<b>1: </b>  2013-03-02 ||<b>2: </b>2014-10-14||<b>3: </b>2015-05-21;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-3.php;<b>1: </b>  2013-06-07 ||<b>2: </b>2014-10-14||<b>3: </b>2015-05-21;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-3.php;<b>1: </b>  2013-12-21 ||<b>2: </b>2014-12-30||<b>3: </b>2015-07-29;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-3.php#markterkundung-ergebnis;<b>1: </b>  2013-12-21 ||<b>2: </b>2014-12-30||<b>3: </b>2015-07-29;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-3.php#auswahlverfahren-bekanntmachung;<b>1: </b>  2014-04-08 ||<b>2: </b>2015-06-26;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php;<b>1: </b> 2014-07-24;;<b>1: </b>  2014-08-30 ||<b>2: </b>2015-06-26;||http://www.tittmoning.de/de/rathaus/wirtschaft/breitband-foerderprogramm-2.php;<b>1: </b> 2014-10-18;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10017/150526_Fördersteckbrief_Tittmoning_ohne_Unterschrift.pdf;<b>1: </b> 2015-10-27;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10466/151026_Projektbeschreibung_Tittmoning.pdf;;
30.04.2015_4;09771169;Schwaben;Aichach-Friedberg;Todtenweis;2014-08-29;;2014-11-07;;2015-03-04;;2015-03-04*;;2015-09-02;;2015-09-28;;2015-10-27;;2015-10-27;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10463/151026_Fo¨rdersteckbrief_Todtenweiß.pdf;;;;
23.02.2015_4;09374148;Oberpfalz;Neustadt a.d. Waldnaab;Trabitz;2014-08-08;http://www.pressath.de/index.php?option=com_content&task=view&id=70&Itemid=177;2014-08-08;http://breitband.regensburg-it.de/trabitz#markterkundung-anfrage;2014-12-31;http://breitband.regensburg-it.de/trabitz#markterkundung-ergebnis;2014-12-31*;http://breitband.regensburg-it.de/trabitz#auswahlverfahren-bekanntmachung;2015-04-28;http://breitband.regensburg-it.de/trabitz#auswahlverfahren-vorgesehene-auswahlentscheidung;2015-10-13;http://breitband.regensburg-it.de/trabitz#auswahlverfahren-bekanntmachung;2015-07-02;http://breitband.regensburg-it.de/trabitz#kooperationsvertrag-6200;;;;;;
;09273177;Niederbayern;Kelheim;Train;2013-09-13;http://www.gemeinde-train.de/index.php?id=0,152;2014-12-03;http://www.gemeinde-train.de/index.php?id=0,152;2015-03-19;http://www.gemeinde-train.de/index.php?id=0,152;2015-03-19;http://www.gemeinde-train.de/index.php?id=0,152;2015-08-15;http://www.gemeinde-train.de/index.php?id=1462,152;;;;;;;;;;
;09372164;Oberpfalz;Cham;Traitsching;2014-08-07;;2014-08-07;;2014-11-21;;2014-11-21;;2015-02-20;;2015-10-13;;2015-10-21;;2015-10-24;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10453/151023_Fördersteckbrief_Traitsching.pdf;;;;
;09189154;Oberbayern;Traunstein;Traunreut, St;2013-10-11;http://www.traunreut.de/index.php?id=6503,507&suche=;2014-03-25;http://www.traunreut.de/index.php?id=0,507;2014-07-29;http://www.traunreut.de/index.php?id=0,507;2014-09-04;http://www.traunreut.de/index.php?id=7824,507&suche=;2015-02-24;http://www.traunreut.de/index.php?id=0,507;;;2015-08-08;http://www.traunreut.de/index.php?id=0,507;;;;;;
;09189155;Oberbayern;Traunstein;Traunstein, GKSt;<b>1: </b>  2014-03-20 ||<b>2: </b>2015-02-20;http://www.traunstein.de/default.aspx?ID=d27fc860-3d4b-488e-ae56-027962b4fb43||http://www.traunstein.de/Aktuelles/Presseberichte/MarkterkundungVerfahren2.aspx;<b>1: </b>  2014-05-16 ||<b>2: </b>2015-02-20;http://www.traunstein.de/Aktuelles/Presseberichte/MarkterkundungTraunstein.aspx||http://www.traunstein.de/Aktuelles/Presseberichte/MarkterkundungVerfahren2.aspx;<b>1: </b>  2015-01-10 ||<b>2: </b>2015-05-27;http://www.traunstein.de||http://www.traunstein.de/Aktuelles/Presseberichte/ErgebnisderMarkterkundung2.aspx;<b>1: </b>  2015-01-10 ||<b>2: </b>2015-05-27;http://www.traunstein.de||http://www.traunstein.de/Aktuelles/Presseberichte/Auswahlverfahren2-Bekanntmachung.aspx;<b>1: </b> 2015-08-08;http://www.traunstein.de/Aktuelles/Presseberichte/BreitbandUebersicht.aspx;;;;;;;;;;
30.01.2015_4;09376173;Oberpfalz;Schwandorf;Trausnitz;2014-04-23;http://www.trausnitz.de/p/dl6.asp?artikel_id=&liste=250&tmpl_typ=Liste&lp=2044;2014-08-22;http://www.trausnitz.de;2014-12-04;http://www.trausnitz.de/;2014-12-04*;http://www.trausnitz.de/;2015-05-21;http://www.trausnitz.de/p/dl6.asp?artikel_id=&liste=250&tmpl_typ=Liste&lp=2044;2015-10-13;http://www.trausnitz.de/;2015-07-08;http://www.trausnitz.de/p/dl6.asp?artikel_id=&liste=250&tmpl_typ=Liste&lp=2044;;;;;;
29.06.2015_4;09575166;Mittelfranken;Neustadt a.d. Aisch;Trautskirchen;2014-10-28;http://www.trautskirchen.de;2014-10-28;http://www.trautskirchen.de;2015-03-25;http://www.trautskirchen.de/breitbandausbau.html;2015-03-25*;http://www.trautskirchen.de/breitbandausbau.html;2015-10-14;http://www.trautskirchen.de/breitbandausbau.html;;;;;;;;;;
;09477158;Oberfranken;Kulmbach;Trebgast;2014-03-07;;2014-05-10;;2014-07-08;;2014-07-08;;2014-10-31;;2015-02-02;;2015-01-09;;2015-02-11;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10152/150204_Fördersteckbrief_Trebgast.pdf;;;;
;09372165;Oberpfalz;Cham;Treffelstein;2013-06-26;;2014-01-22;;2014-04-08;;2014-04-08;;2014-10-11;;2015-02-02;;2015-02-17;;2015-02-27;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10169/150331_Fördersteckbrief_Treffelstein.pdf;;;;
;09577173;Mittelfranken;Weißenburg-Gunzenhausen;Treuchtlingen, St;<b>1: </b>  2014-04-04 ||<b>2: </b>2015-08-04;http://www.treuchtlingen.de/Breitbandfoerderprogramm.674.0.html||http://www.treuchtlingen.de/Breitbandfoerderprogramm-2-Verfahren.728.0.html;<b>1: </b>  2014-08-07 ||<b>2: </b>2015-08-04;http://www.treuchtlingen.de/Breitbandfoerderprogramm.674.0.html||http://www.treuchtlingen.de/Breitbandfoerderprogramm-2-Verfahren.728.0.html;<b>1: </b>  2015-01-17 ||<b>2: </b>2015-10-24;http://www.treuchtlingen.de/Breitbandfoerderprogramm.674.0.html||http://www.treuchtlingen.de/Breitbandfoerderprogramm-2-Verfahren.728.0.html;<b>1: </b>  2015-02-14 ||<b>2: </b>2015-10-24;http://www.treuchtlingen.de/Breitbandfoerderprogramm.674.0.html||http://www.treuchtlingen.de/Breitbandfoerderprogramm-2-Verfahren.728.0.html;<b>1: </b> 2015-10-08;http://www.treuchtlingen.de/Breitbandfoerderprogramm.674.0.html;;;;;;;;;;
;09677154;Unterfranken;Main-Spessart;Triefenstein, M;2014-09-11;http://www.markt-triefenstein.de/index.php?id=492&no_cache=1&tx_ttnews%5Btt_news%5D=888&cHash=336da61140f52cb27259defa4f9c2bcc;2014-09-11;http://www.markt-triefenstein.de/index.php?id=492&no_cache=1&tx_ttnews%5Btt_news%5D=888&cHash=336da61140f52cb27259defa4f9c2bcc;2015-01-24;http://www.markt-triefenstein.de/index.php?id=492&no_cache=1&tx_ttnews%5Btt_news%5D=888&cHash=336da61140f52cb27259defa4f9c2bcc;2015-01-24;http://www.markt-triefenstein.de/index.php?id=492&no_cache=1&tx_ttnews%5Btt_news%5D=888&cHash=336da61140f52cb27259defa4f9c2bcc;2015-09-16;http://www.markt-triefenstein.de/fileadmin/Dokumente/Bauamt/Schnelleres_Internet/Bekanntmachung.pdf;;;;;;;;;;
;09277149;Niederbayern;Rottal-Inn;Triftern, M;2014-10-03;http://www.triftern.de/node/1896;2014-10-03;http://www.triftern.de/node/1896;2015-05-22;http://www.triftern.de/node/1896;2015-05-22;http://www.triftern.de/node/1896;;;;;;;;;;;;
;09475182;Oberfranken;Hof;Trogen;2013-11-28;http://www.trogen.de/index.php?option=com_content&view=article&id=109;2014-08-02;http://www.trogen.de/index.php?option=com_content&view=article&id=109:breitbandfoerderung&catid=34:allgemein&Itemid=53;2014-12-03;http://www.trogen.de/index.php?option=com_content&view=article&id=109:breitbandfoerderung&catid=34:allgemein&Itemid=53;2014-12-20;http://www.trogen.de/index.php?option=com_content&view=article&id=109:breitbandfoerderung&catid=34:allgemein&Itemid=53;2015-04-16;http://www.trogen.de/index.php?option=com_content&view=article&id=109:breitbandfoerderung&catid=34:allgemein&Itemid=53;;;;;;;;;;
;09189157;Oberbayern;Traunstein;Trostberg, St;2015-05-27;http://www.stadt-trostberg.de;2015-05-27;http://breitband.regensburg-it.de/trostberg#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09778202;Schwaben;Unterallgäu;Trunkelsberg;2014-12-18;http://trunkelsberg.de/Breitbandfoerderung.php;2014-12-18;http://trunkelsberg.de/Breitbandfoerderung.php;;;;;;;;;;;;;;;;
;09479161;Oberfranken;Wunsiedel;Tröstau;2013-09-06;http://www.troestau.de/news/1/259161/nachrichten/breitbandversorgung-allgemeine-markterkundung.html;2014-11-13;http://www.troestau.de/news/1/259161/nachrichten/breitbandversorgung-allgemeine-markterkundung.html;2015-05-20;http://www.troestau.de/seite/210826/breitbandversorgung.html;2015-05-20;http://www.troestau.de/seite/210826/breitbandversorgung.html;;;;;;;;;;;;
;09476182;Oberfranken;Kronach;Tschirn;<em> 2014-12-17</em>;;<em> 2014-12-17</em>;;;;;;;;;;;;;;;;ausgesetzt_2015-05-15
;09573129;Mittelfranken;Fürth;Tuchenbach;<em> 2014-10-30</em>;;<em> 2014-10-30</em>;;<em> 2015-03-19</em>;;;;;;;;;;;;;;ausgesetzt_2015-07-13
;09187179;Oberbayern;Rosenheim;Tuntenhausen;2014-08-06;http://www.tuntenhausen.de/node/1303;2014-08-06;http://www.tuntenhausen.de/node/1303;2015-04-01;http://www.tuntenhausen.de/node/1366;2015-04-01;http://www.tuntenhausen.de/node/1366;2015-09-25;http://www.tuntenhausen.de/node/1366;;;2015-09-25;http://www.tuntenhausen.de/node/1366;;;;;;
;09778204;Schwaben;Unterallgäu;Tussenhausen, M;2015-06-16;http://www.tussenhausen.de/breitbandausbau;2015-06-16;http://www.tussenhausen.de/breitbandausbau;;;;;;;;;;;;;;;;
;09188141;Oberbayern;Starnberg;Tutzing;2014-10-14;http://www.tutzing.de/default.asp?tg=&wid=360&ntextid=1052&kon=&spk=de&sid=310214385&art=;2014-10-14;http://breitband.regensburg-it.de/tutzing;2015-06-02;http://breitband.regensburg-it.de/tutzing#markterkundung-ergebnis;2015-06-02;http://breitband.regensburg-it.de/tutzing#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
12.10.2015_4;09171134;Oberbayern;Altötting;Tyrlaching;2013-12-14;http://tyrlaching.de/breitbandforderung/;2014-09-17;http://tyrlaching.de/breitbandforderung/;2015-08-12;http://tyrlaching.de/breitbandforderung/;2015-08-12*;http://tyrlaching.de/breitbandforderung/;;;;;;;;;;;;
20.01.2015_4;09374159;Oberpfalz;Neustadt a.d. Waldnaab;Tännesberg, M;<b>1: </b>  2014-05-31 ||<b>2: </b>2015-07-02;http://www.taennesberg.de||http://www.taennesberg.de;<b>1: </b>  2014-07-29 ||<b>2: </b>2015-07-02;http://www.taennesberg.de||http://www.taennesberg.de;<b>1: </b>  2014-10-22 ||<b>2: </b>2015-09-30;http://www.taennesberg.de||http://www.taennesberg.de;<b>1: </b>  2014-10-22 ||<b>2: </b>2015-09-30;http://www.taennesberg.de||http://www.taennesberg.de;<b>1: </b> 2015-04-03;http://www.taennesberg.de;<b>1: </b> 2015-10-13;http://www.taennesberg.de;<b>1: </b> 2015-04-02;http://www.taennesberg.de;;;;;;
06.08.2015_4;09171132;Oberbayern;Altötting;Töging a.Inn, St;2014-08-09;http://www.toeging.de/wirtschaft/breitbandausbau.htm;2014-08-09;http://www.toeging.de/wirtschaft/breitbandausbau.htm;2015-06-04;http://www.toeging.de;2015-06-04*;http://www.toeging.de/;;;;;;;;;;;;
;09475181;Oberfranken;Hof;Töpen;2013-11-28;http://www.toepen.de/index.php?option=com_content&view=article&id=153;2014-08-02;http://www.toepen.de/index.php?option=com_content&view=article&id=153:breitbandversorgung&catid=35:allgemein&Itemid=55;2014-12-03;http://www.toepen.de/index.php?option=com_content&view=article&id=153:breitbandversorgung&catid=35:allgemein&Itemid=55;2014-12-18;http://www.toepen.de/index.php?option=com_content&view=article&id=153:breitbandfoerderung&catid=35:allgemein&Itemid=55;2015-07-15;http://www.toepen.de/index.php?option=com_content&view=article&id=153:breitbandfoerderung&catid=35:allgemein&Itemid=55;;;;;;;;;;
;09778203;Schwaben;Unterallgäu;Türkheim, M;2015-07-07;http://www.tuerkheim.de/uzk3wj916phltuerkheim-cms_extract.l38347.html?BUTTON_REC_ID=38347;2015-07-07;http://www.tuerkheim.de/uzk3wj916phltuerkheim-cms_extract.l38347.html?BUTTON_REC_ID=38347;2015-10-17;http://www.tuerkheim.de/uzk3wj916phltuerkheim-cms_extract.l38347.html?BUTTON_REC_ID=38347;2015-10-17;http://www.tuerkheim.de/uzk3wj916phltuerkheim-cms_extract.l38347.html?BUTTON_REC_ID=3834;;;;;;;;;;;;
03.09.2015_4;09171133;Oberbayern;Altötting;Tüßling, M;2014-09-24;http://www.tuesslingonline.de/b%C3%BCrgerinformationen/breitbandausbau/;2014-09-24;http://www.tuesslingonline.de/b%C3%BCrgerinformationen/breitbandausbau/;2015-06-20;http://www.tuesslingonline.de/b%C3%BCrgerinformationen/breitbandausbau/;2015-07-22*;http://www.tuesslingonline.de/b%C3%BCrgerinformationen/breitbandausbau/;;;;;;;;;;;;
;09575167;Mittelfranken;Neustadt a.d. Aisch;Uehlfeld, M;2015-02-17;http://www.uehlfeld.de/rathaus-a-verwaltung/breitbandinitiative;2015-02-17;http://www.uehlfeld.de/rathaus-a-verwaltung/breitbandinitiative;2015-09-08;http://www.uehlfeld.de/rathaus-a-verwaltung/breitbandinitiative/52-modul-3-ergebnis-der-markterkundung;2015-09-08;http://www.uehlfeld.de/rathaus-a-verwaltung/breitbandinitiative/53-modul-4-auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09679196;Unterfranken;Würzburg;Uettingen;<em> 2014-11-19</em>;;<em> 2014-11-19</em>;;<em> 2015-06-16</em>;;;;;;;;;;;;;;ausgesetzt_2015-10-15
;09575168;Mittelfranken;Neustadt a.d. Aisch;Uffenheim, St;2014-09-17;http://www.uffenheim.de/bekanntmachungen.html;2014-09-17;http://www.uffenheim.de/bekanntmachungen.html;2015-05-05;http://www.uffenheim.de/bekanntmachungen.html;2015-05-05;http://www.uffenheim.de/bekanntmachungen.html;;;;;;;;;;;;
